dd,day_hour,num_records,num_sessions,num_vins
2018-01-02,9,27887,948,852
2018-01-02,10,19609,679,622
2018-01-02,11,12936,487,448
2018-01-02,12,13578,496,453
2018-01-02,13,12233,407,375
2018-01-02,14,7195,232,221
2018-01-02,15,4567,173,158
2018-01-02,16,3136,113,105
2018-01-02,17,1619,65,61
2018-01-02,18,1180,46,41
2018-01-02,19,683,21,19
2018-01-02,20,707,22,20
2018-01-02,21,839,23,23
2018-01-02,22,2499,98,93
2018-01-02,23,11949,423,389
2018-01-03,0,20351,749,665
2018-01-03,1,26631,951,821
2018-01-03,2,27647,1006,869
2018-01-03,3,24127,890,770
2018-01-03,4,21281,841,728
2018-01-03,5,22380,846,738
2018-01-03,6,27314,925,796
2018-01-03,7,27446,937,816
2018-01-03,8,28007,968,842
2018-01-03,9,30597,1012,915
2018-01-03,10,21531,724,666
2018-01-03,11,14722,541,496
2018-01-03,12,14241,497,457
2018-01-03,13,11142,389,356
2018-01-03,14,7935,272,253
2018-01-03,15,5355,181,167
2018-01-03,16,3281,120,112
2018-01-03,17,1949,72,69
2018-01-03,18,966,33,30
2018-01-03,19,800,31,30
2018-01-03,20,993,31,28
2018-01-03,21,1229,33,32
2018-01-03,22,3227,115,113
2018-01-03,23,12640,442,417
2018-01-04,0,22549,799,725
2018-01-04,1,29109,975,847
2018-01-04,2,165558,1223,986
2018-01-04,3,556725,1524,1118
2018-01-04,4,468261,1355,1021
2018-01-04,5,632167,1405,1046
2018-01-04,6,772014,1500,1123
2018-01-04,7,720036,1508,1114
2018-01-04,8,832108,1699,1235
2018-01-04,9,869912,1565,1260
2018-01-04,10,700254,1231,1016
2018-01-04,11,457277,872,746
2018-01-04,12,400383,797,670
2018-01-04,13,312254,652,540
2018-01-04,14,187380,468,397
2018-01-04,15,104329,300,265
2018-01-04,16,90879,187,171
2018-01-04,17,27673,99,89
2018-01-04,18,27803,68,59
2018-01-04,19,10061,34,33
2018-01-04,20,11459,32,26
2018-01-04,21,26675,52,42
2018-01-04,22,82355,180,162
2018-01-04,23,344311,632,522
2018-01-05,0,598286,1296,998
2018-01-05,1,776689,1692,1214
2018-01-05,2,705330,1638,1119
2018-01-05,3,685218,1644,1193
2018-01-05,4,629465,1548,1119
2018-01-05,5,698242,1628,1159
2018-01-05,6,896679,1721,1238
2018-01-05,7,855724,1794,1245
2018-01-05,8,900773,1815,1300
2018-01-05,9,980444,1665,1326
2018-01-05,10,796254,1322,1096
2018-01-05,11,485422,1012,826
2018-01-05,12,490921,930,764
2018-01-05,13,428706,820,678
2018-01-05,14,261157,557,482
2018-01-05,15,164276,308,280
2018-01-05,16,129091,243,208
2018-01-05,17,92243,163,145
2018-01-05,18,44386,117,105
2018-01-05,19,28424,61,56
2018-01-05,20,23319,41,36
2018-01-05,21,17888,46,38
2018-01-05,22,54610,113,98
2018-01-05,23,147973,380,307
2018-01-06,0,387066,965,739
2018-01-06,1,661625,1428,1033
2018-01-06,2,736427,1603,1150
2018-01-06,3,751191,1586,1190
2018-01-06,4,656261,1394,1075
2018-01-06,5,671217,1487,1134
2018-01-06,6,755173,1542,1149
2018-01-06,7,791767,1531,1137
2018-01-06,8,912998,1541,1164
2018-01-06,9,903895,1450,1203
2018-01-06,10,600502,1077,920
2018-01-06,11,353096,815,707
2018-01-06,12,409190,805,697
2018-01-06,13,409870,688,581
2018-01-06,14,256657,458,394
2018-01-06,15,192648,315,274
2018-01-06,16,105133,205,178
2018-01-06,17,62877,122,109
2018-01-06,18,66560,98,84
2018-01-06,19,29448,44,39
2018-01-06,20,16204,30,29
2018-01-06,21,17327,33,27
2018-01-06,22,34058,89,80
2018-01-06,23,112188,299,251
2018-01-07,0,327490,763,567
2018-01-07,1,503623,1147,850
2018-01-07,2,572829,1334,987
2018-01-07,3,590395,1394,1045
2018-01-07,4,586242,1262,967
2018-01-07,5,648863,1353,1029
2018-01-07,6,724157,1482,1126
2018-01-07,7,717209,1437,1062
2018-01-07,8,709523,1456,1080
2018-01-07,9,713165,1360,1106
2018-01-07,10,583550,1083,895
2018-01-07,11,414362,872,729
2018-01-07,12,368492,762,660
2018-01-07,13,287922,633,549
2018-01-07,14,186246,418,363
2018-01-07,15,112882,302,258
2018-01-07,16,72856,202,178
2018-01-07,17,61928,101,90
2018-01-07,18,15245,57,50
2018-01-07,19,10670,32,27
2018-01-07,20,8164,21,17
2018-01-07,21,11017,29,27
2018-01-07,22,85690,218,192
2018-01-07,23,378020,788,641
2018-01-08,0,694510,1402,1095
2018-01-08,1,832693,1837,1291
2018-01-08,2,901867,1840,1281
2018-01-08,3,788009,1877,1336
2018-01-08,4,700198,1678,1243
2018-01-08,5,726638,1728,1215
2018-01-08,6,911130,1826,1295
2018-01-08,7,991248,1841,1305
2018-01-08,8,928032,1896,1344
2018-01-08,9,1039430,1808,1433
2018-01-08,10,833089,1374,1144
2018-01-08,11,515190,1027,846
2018-01-08,12,499431,904,764
2018-01-08,13,464202,753,642
2018-01-08,14,261145,537,443
2018-01-08,15,173673,343,298
2018-01-08,16,104568,239,205
2018-01-08,17,126576,152,131
2018-01-08,18,30237,62,56
2018-01-08,19,28923,47,40
2018-01-08,20,8708,28,23
2018-01-08,21,11574,28,26
2018-01-08,22,118615,184,171
2018-01-08,23,357678,766,628
2018-01-09,0,699893,1539,1169
2018-01-09,1,844256,2025,1407
2018-01-09,2,890706,2056,1404
2018-01-09,3,795794,1958,1390
2018-01-09,4,698521,1742,1254
2018-01-09,5,885307,1900,1348
2018-01-09,6,962161,2058,1414
2018-01-09,7,1056809,2089,1447
2018-01-09,8,1084199,2083,1469
2018-01-09,9,1134117,2034,1572
2018-01-09,10,803740,1500,1210
2018-01-09,11,632822,1100,914
2018-01-09,12,531998,973,816
2018-01-09,13,386825,822,681
2018-01-09,14,331359,556,490
2018-01-09,15,164213,332,300
2018-01-09,16,82317,208,185
2018-01-09,17,51286,144,127
2018-01-09,18,47423,100,82
2018-01-09,19,29856,57,51
2018-01-09,20,36999,50,41
2018-01-09,21,32699,72,58
2018-01-09,22,118125,239,209
2018-01-09,23,411806,827,697
2018-01-10,0,650752,1612,1193
2018-01-10,1,971661,2076,1453
2018-01-10,2,829641,2030,1389
2018-01-10,3,824654,2050,1436
2018-01-10,4,694584,1780,1304
2018-01-10,5,929521,1946,1385
2018-01-10,6,994235,2030,1468
2018-01-10,7,1028088,2043,1400
2018-01-10,8,1082793,2033,1464
2018-01-10,9,1127257,2064,1552
2018-01-10,10,869690,1527,1249
2018-01-10,11,570052,1164,954
2018-01-10,12,568862,1109,900
2018-01-10,13,487305,861,721
2018-01-10,14,367967,614,518
2018-01-10,15,175064,363,321
2018-01-10,16,124749,233,203
2018-01-10,17,65901,154,129
2018-01-10,18,29079,86,75
2018-01-10,19,10687,30,29
2018-01-10,20,9395,26,25
2018-01-10,21,35146,47,43
2018-01-10,22,81600,196,180
2018-01-10,23,401508,829,685
2018-01-11,0,743124,1600,1232
2018-01-11,1,887250,2131,1503
2018-01-11,2,859431,2154,1494
2018-01-11,3,816255,2022,1434
2018-01-11,4,726380,1858,1345
2018-01-11,5,862570,1988,1443
2018-01-11,6,938911,2188,1536
2018-01-11,7,1039298,2167,1495
2018-01-11,8,1047841,2106,1497
2018-01-11,9,1112952,1967,1557
2018-01-11,10,828722,1579,1277
2018-01-11,11,617732,1176,987
2018-01-11,12,585317,1065,904
2018-01-11,13,489544,886,743
2018-01-11,14,379847,627,546
2018-01-11,15,200654,375,333
2018-01-11,16,106865,215,193
2018-01-11,17,78947,148,133
2018-01-11,18,36385,91,75
2018-01-11,19,23802,44,41
2018-01-11,20,30417,39,35
2018-01-11,21,65756,67,61
2018-01-11,22,86563,214,195
2018-01-11,23,332763,799,661
2018-01-12,0,686547,1634,1249
2018-01-12,1,872695,2137,1530
2018-01-12,2,944914,2162,1494
2018-01-12,3,869450,2115,1516
2018-01-12,4,864277,1925,1414
2018-01-12,5,922850,2076,1477
2018-01-12,6,1136296,2190,1536
2018-01-12,7,1131798,2214,1538
2018-01-12,8,1267450,2303,1664
2018-01-12,9,1340430,2195,1705
2018-01-12,10,980116,1664,1372
2018-01-12,11,689430,1280,1074
2018-01-12,12,651524,1137,951
2018-01-12,13,504113,914,770
2018-01-12,14,322227,659,555
2018-01-12,15,59925,229,224
2018-01-12,23,129299,387,357
2018-01-13,0,564825,1249,955
2018-01-13,1,786288,1867,1314
2018-01-13,2,1016007,2109,1476
2018-01-13,3,921900,2086,1514
2018-01-13,4,939998,1812,1373
2018-01-13,5,923008,1983,1449
2018-01-13,6,951816,2058,1468
2018-01-13,7,1036515,1931,1389
2018-01-13,8,1035315,1981,1443
2018-01-13,9,1069661,1959,1516
2018-01-13,10,737949,1410,1169
2018-01-13,11,539771,1081,895
2018-01-13,12,602145,1122,960
2018-01-13,13,540526,954,802
2018-01-13,14,359294,660,566
2018-01-13,15,204730,450,394
2018-01-13,16,143352,303,256
2018-01-13,17,58406,169,143
2018-01-13,18,28512,83,77
2018-01-13,19,20014,57,49
2018-01-13,20,13046,33,30
2018-01-13,21,15686,43,36
2018-01-13,22,67568,101,87
2018-01-13,23,129893,381,314
2018-01-14,0,372795,1056,783
2018-01-14,1,636038,1628,1154
2018-01-14,2,807068,1931,1345
2018-01-14,3,875051,1963,1385
2018-01-14,4,693757,1765,1285
2018-01-14,5,814203,1860,1367
2018-01-14,6,950803,1909,1420
2018-01-14,7,987008,1860,1369
2018-01-14,8,951132,1896,1381
2018-01-14,9,1013351,1944,1482
2018-01-14,10,731658,1436,1177
2018-01-14,11,537277,1111,933
2018-01-14,12,547894,1046,879
2018-01-14,13,390185,810,687
2018-01-14,14,285475,580,487
2018-01-14,15,157492,372,320
2018-01-14,16,77030,244,216
2018-01-14,17,48378,131,108
2018-01-14,18,28055,66,57
2018-01-14,19,14136,38,35
2018-01-14,20,11108,26,22
2018-01-14,21,33630,38,36
2018-01-14,22,119853,254,225
2018-01-14,23,420936,951,745
2018-01-15,0,812499,1753,1313
2018-01-15,1,862546,2211,1561
2018-01-15,2,784097,2164,1474
2018-01-15,3,767443,2107,1446
2018-01-15,4,663101,1893,1364
2018-01-15,5,816814,2026,1431
2018-01-15,6,959338,2082,1489
2018-01-15,7,938427,2103,1469
2018-01-15,8,976073,2149,1522
2018-01-15,9,983870,2075,1614
2018-01-15,10,754306,1591,1294
2018-01-15,11,596100,1208,1002
2018-01-15,12,496123,1090,896
2018-01-15,13,419724,876,747
2018-01-15,14,264702,566,468
2018-01-15,15,143097,389,349
2018-01-15,16,100228,242,214
2018-01-15,17,64531,147,121
2018-01-15,18,48312,69,67
2018-01-15,19,25130,51,42
2018-01-15,20,14692,34,30
2018-01-15,21,45428,49,46
2018-01-15,22,156923,227,198
2018-01-15,23,412594,883,716
2018-01-16,0,756776,1619,1252
2018-01-16,1,880827,2161,1548
2018-01-16,2,934699,2163,1510
2018-01-16,3,856556,2070,1490
2018-01-16,4,739108,1923,1391
2018-01-16,5,821613,1940,1416
2018-01-16,6,901716,2078,1471
2018-01-16,7,959585,2162,1514
2018-01-16,8,969633,2215,1568
2018-01-16,9,1050116,2152,1670
2018-01-16,10,769793,1579,1299
2018-01-16,11,569979,1226,1014
2018-01-16,12,597544,1109,935
2018-01-16,13,497121,888,747
2018-01-16,14,360834,663,576
2018-01-16,15,226367,405,352
2018-01-16,16,167113,261,223
2018-01-16,17,62696,148,130
2018-01-16,18,29709,81,71
2018-01-16,19,15069,45,39
2018-01-16,20,12725,29,28
2018-01-16,21,15640,38,34
2018-01-16,22,84193,208,183
2018-01-16,23,409856,855,690
2018-01-17,9,50,1,1
2018-01-18,0,765571,1856,1378
2018-01-18,1,905226,2286,1617
2018-01-18,2,960818,2217,1532
2018-01-18,3,950393,2264,1591
2018-01-18,4,768220,1986,1476
2018-01-18,5,937860,2073,1496
2018-01-18,6,1067721,2226,1578
2018-01-18,7,1099885,2190,1556
2018-01-18,8,1028144,2242,1601
2018-01-18,9,1176820,2140,1672
2018-01-18,10,844331,1627,1345
2018-01-18,11,611029,1244,1030
2018-01-18,12,567031,1207,988
2018-01-18,13,514686,965,794
2018-01-18,14,340615,692,588
2018-01-18,15,214243,471,405
2018-01-18,16,127803,302,256
2018-01-18,17,49930,148,129
2018-01-18,18,56218,81,71
2018-01-18,19,22352,57,46
2018-01-18,20,12804,27,22
2018-01-18,21,14848,36,34
2018-01-18,22,67403,204,171
2018-01-18,23,380043,838,676
2018-01-19,0,722007,1760,1323
2018-01-19,1,947795,2272,1635
2018-01-19,2,1081318,2285,1573
2018-01-19,3,886584,2247,1595
2018-01-19,4,817903,2081,1506
2018-01-19,5,965324,2128,1552
2018-01-19,6,1160218,2343,1648
2018-01-19,7,1116077,2306,1634
2018-01-19,8,1158916,2278,1635
2018-01-19,9,1239525,2311,1784
2018-01-19,10,856778,1738,1430
2018-01-19,11,721326,1334,1100
2018-01-19,12,635216,1257,1051
2018-01-19,13,611817,1095,929
2018-01-19,14,365085,759,651
2018-01-19,15,209372,479,414
2018-01-19,16,127365,270,241
2018-01-19,17,69687,188,167
2018-01-19,18,42817,107,96
2018-01-19,19,29055,67,60
2018-01-19,20,16019,38,33
2018-01-19,21,25369,54,44
2018-01-19,22,69721,135,113
2018-01-19,23,196826,468,377
2018-01-20,0,520822,1209,937
2018-01-20,1,762982,1882,1347
2018-01-20,2,921934,2065,1487
2018-01-20,3,1009978,2166,1547
2018-01-20,4,834076,1901,1432
2018-01-20,5,936494,2041,1507
2018-01-20,6,1149927,2210,1564
2018-01-20,7,1101387,2141,1522
2018-01-20,8,1147267,2092,1536
2018-01-20,9,1065614,2071,1606
2018-01-20,10,822241,1570,1287
2018-01-20,11,633157,1226,1030
2018-01-20,12,666090,1253,1040
2018-01-20,13,503968,936,798
2018-01-20,14,332059,695,577
2018-01-20,15,225335,449,386
2018-01-20,16,129772,319,275
2018-01-20,17,81875,208,175
2018-01-20,18,44646,116,98
2018-01-20,19,30168,80,67
2018-01-20,20,37615,50,45
2018-01-20,21,20531,46,40
2018-01-20,22,48363,122,103
2018-01-20,23,131450,436,343
2018-01-21,0,368484,1037,817
2018-01-21,1,819150,1680,1222
2018-01-21,2,894846,1915,1371
2018-01-21,3,955282,1953,1443
2018-01-21,4,776562,1740,1324
2018-01-21,5,981334,1919,1425
2018-01-21,6,1087265,2021,1509
2018-01-21,7,1066088,1977,1439
2018-01-21,8,1035580,2021,1503
2018-01-21,9,1031017,1975,1554
2018-01-21,10,760926,1564,1277
2018-01-21,11,567195,1198,999
2018-01-21,12,627196,1232,1010
2018-01-21,13,412144,910,777
2018-01-21,14,330941,638,547
2018-01-21,15,167792,381,333
2018-01-21,16,79895,234,207
2018-01-21,17,61750,166,146
2018-01-21,18,34214,88,77
2018-01-21,19,22063,61,54
2018-01-21,20,24102,58,48
2018-01-21,21,68044,89,80
2018-01-21,22,144549,293,248
2018-01-21,23,485851,983,789
2018-01-22,0,854138,1928,1458
2018-01-22,1,920238,2422,1689
2018-01-22,2,942484,2302,1566
2018-01-22,3,784726,2241,1550
2018-01-22,4,753240,1993,1424
2018-01-22,5,895335,2105,1506
2018-01-22,6,1068648,2281,1627
2018-01-22,7,1126266,2303,1599
2018-01-22,8,1111931,2422,1678
2018-01-22,9,1169931,2286,1737
2018-01-22,10,832872,1755,1450
2018-01-22,11,582742,1341,1075
2018-01-22,12,600015,1164,968
2018-01-22,13,413369,979,816
2018-01-22,14,317494,631,537
2018-01-22,15,194382,463,399
2018-01-22,16,104121,297,258
2018-01-22,17,58372,154,141
2018-01-22,18,29858,90,80
2018-01-22,19,20556,45,41
2018-01-22,20,23502,37,35
2018-01-22,21,37396,54,49
2018-01-22,22,110309,224,198
2018-01-22,23,398915,847,684
2018-01-23,0,740156,1679,1312
2018-01-23,1,919812,2318,1669
2018-01-23,2,971771,2322,1628
2018-01-23,3,996868,2222,1603
2018-01-23,4,774201,1981,1465
2018-01-23,5,965700,2049,1519
2018-01-23,6,1144517,2315,1690
2018-01-23,7,1133018,2350,1657
2018-01-23,8,1146514,2382,1706
2018-01-23,9,1143727,2304,1799
2018-01-23,10,927847,1769,1463
2018-01-23,11,717459,1354,1127
2018-01-23,12,637004,1265,1052
2018-01-23,13,580453,1075,906
2018-01-23,14,480143,733,633
2018-01-23,15,210951,459,396
2018-01-23,16,137077,299,255
2018-01-23,17,59646,174,157
2018-01-23,18,38413,91,86
2018-01-23,19,27648,53,44
2018-01-23,20,33156,50,43
2018-01-23,21,61971,89,79
2018-01-23,22,164671,290,250
2018-01-23,23,463605,936,764
2018-01-24,0,851536,1891,1434
2018-01-24,1,1062746,2456,1752
2018-01-24,2,1056554,2445,1688
2018-01-24,3,1091809,2408,1698
2018-01-24,4,869080,2111,1584
2018-01-24,5,972925,2166,1597
2018-01-24,6,1104246,2322,1684
2018-01-24,7,1183628,2333,1675
2018-01-24,8,1191955,2390,1731
2018-01-24,9,1199092,2263,1796
2018-01-24,10,899878,1699,1440
2018-01-24,11,740876,1320,1093
2018-01-24,12,676224,1254,1054
2018-01-24,13,536410,1000,854
2018-01-24,14,371321,707,610
2018-01-24,15,210187,490,431
2018-01-24,16,149946,311,283
2018-01-24,17,83342,173,147
2018-01-24,18,50772,118,100
2018-01-24,19,25312,53,51
2018-01-24,20,34616,42,38
2018-01-24,21,32040,55,51
2018-01-24,22,109497,217,193
2018-01-24,23,350298,762,631
2018-01-25,0,742877,1659,1283
2018-01-25,1,941688,2183,1594
2018-01-25,2,1081155,2272,1618
2018-01-25,3,953510,2227,1594
2018-01-25,4,731930,1951,1482
2018-01-25,5,910654,2003,1473
2018-01-25,6,1033066,2134,1562
2018-01-25,7,930886,2123,1530
2018-01-25,8,1000676,2134,1577
2018-01-25,9,1178693,2148,1710
2018-01-25,10,887393,1632,1389
2018-01-25,11,657196,1239,1034
2018-01-25,12,587006,1141,954
2018-01-25,13,442448,937,800
2018-01-25,14,349696,684,589
2018-01-25,15,227715,411,365
2018-01-25,16,141784,285,249
2018-01-25,17,94849,190,168
2018-01-25,18,48543,99,90
2018-01-25,19,32471,64,58
2018-01-25,20,15456,43,37
2018-01-25,21,51510,65,57
2018-01-25,22,133687,214,178
2018-01-25,23,437426,743,609
2018-01-26,0,764288,1618,1257
2018-01-26,1,877842,2213,1620
2018-01-26,2,986676,2241,1582
2018-01-26,3,886926,2212,1567
2018-01-26,4,764665,2036,1509
2018-01-26,5,960144,2069,1531
2018-01-26,6,1115061,2221,1595
2018-01-26,7,1206505,2261,1632
2018-01-26,8,1255992,2282,1660
2018-01-26,9,1310125,2261,1817
2018-01-26,10,937502,1685,1428
2018-01-26,11,628185,1273,1049
2018-01-26,12,620259,1241,1037
2018-01-26,13,524453,1024,878
2018-01-26,14,426609,754,654
2018-01-26,15,272698,473,421
2018-01-26,16,149014,331,287
2018-01-26,17,88915,206,189
2018-01-26,18,45733,121,103
2018-01-26,19,18445,62,55
2018-01-26,20,9960,28,26
2018-01-26,21,22653,33,32
2018-01-26,22,82743,132,119
2018-01-26,23,200918,448,375
2018-01-27,0,439106,1183,922
2018-01-27,1,687400,1719,1295
2018-01-27,2,876789,1971,1437
2018-01-27,3,905331,1919,1440
2018-01-27,4,733492,1810,1382
2018-01-27,5,881766,1828,1385
2018-01-27,6,956214,1946,1425
2018-01-27,7,948669,1895,1437
2018-01-27,8,1020185,1882,1424
2018-01-27,9,1010445,1898,1509
2018-01-27,10,808266,1509,1280
2018-01-27,11,563692,1125,951
2018-01-27,12,665520,1193,1000
2018-01-27,13,501900,923,777
2018-01-27,14,411420,642,553
2018-01-27,15,171518,457,393
2018-01-27,16,122069,309,261
2018-01-27,17,63466,181,165
2018-01-27,18,49063,145,122
2018-01-27,19,26836,71,65
2018-01-27,20,40343,62,53
2018-01-27,21,45243,79,67
2018-01-27,22,101336,196,161
2018-01-27,23,237343,530,436
2018-01-28,0,441967,1088,822
2018-01-28,1,750540,1591,1193
2018-01-28,2,870941,1870,1398
2018-01-28,3,834281,1951,1434
2018-01-28,4,725432,1734,1319
2018-01-28,5,817864,1885,1435
2018-01-28,6,1030975,1998,1506
2018-01-28,7,1035577,1970,1468
2018-01-28,8,1021200,1990,1483
2018-01-28,9,1083937,1932,1542
2018-01-28,10,755748,1468,1231
2018-01-28,11,596093,1172,1006
2018-01-28,12,625152,1142,977
2018-01-28,13,495287,933,784
2018-01-28,14,299003,612,524
2018-01-28,15,161767,386,351
2018-01-28,16,94255,251,228
2018-01-28,17,51292,163,137
2018-01-28,18,30086,84,76
2018-01-28,19,22749,55,50
2018-01-28,20,19718,28,25
2018-01-28,21,52630,60,53
2018-01-28,22,89430,197,174
2018-01-28,23,363709,802,647
2018-01-29,0,661639,1712,1327
2018-01-29,1,933834,2387,1705
2018-01-29,2,995459,2418,1690
2018-01-29,3,885415,2404,1664
2018-01-29,4,796016,2134,1553
2018-01-29,5,933217,2234,1596
2018-01-29,6,1096566,2514,1742
2018-01-29,7,1196287,2530,1770
2018-01-29,8,1179191,2559,1795
2018-01-29,9,1233483,2478,1929
2018-01-29,10,986473,1933,1582
2018-01-29,11,607957,1362,1161
2018-01-29,12,628533,1324,1123
2018-01-29,13,579714,1065,908
2018-01-29,14,427948,680,605
2018-01-29,15,300127,496,426
2018-01-29,16,166460,318,271
2018-01-29,17,69036,172,153
2018-01-29,18,45321,102,88
2018-01-29,19,23218,60,53
2018-01-29,20,18805,39,33
2018-01-29,21,54529,63,55
2018-01-29,22,106054,230,206
2018-01-29,23,348539,818,684
2018-01-30,0,750767,1822,1398
2018-01-30,1,1022592,2554,1810
2018-01-30,2,1103235,2630,1826
2018-01-30,3,1079299,2554,1816
2018-01-30,4,865072,2328,1720
2018-01-30,5,1121553,2498,1766
2018-01-30,6,1121488,2620,1853
2018-01-30,7,1170250,2525,1799
2018-01-30,8,1271503,2586,1852
2018-01-30,9,1516507,2646,2053
2018-01-30,10,1092001,1975,1648
2018-01-30,11,747538,1524,1299
2018-01-30,12,637783,1477,1214
2018-01-30,13,599970,1145,977
2018-01-30,14,347852,798,661
2018-01-30,15,238598,495,433
2018-01-30,16,152427,319,281
2018-01-30,17,100344,165,149
2018-01-30,18,35570,90,81
2018-01-30,19,21148,51,46
2018-01-30,20,13810,35,33
2018-01-30,21,21610,61,56
2018-01-30,22,111315,204,178
2018-01-30,23,341005,814,673
2018-01-31,0,789503,1778,1391
2018-01-31,1,1087066,2513,1815
2018-01-31,2,1106419,2594,1810
2018-01-31,3,1056735,2538,1819
2018-01-31,4,944114,2327,1734
2018-01-31,5,1057404,2414,1751
2018-01-31,6,1207053,2577,1852
2018-01-31,7,1284557,2643,1858
2018-01-31,8,1269276,2681,1911
2018-01-31,9,1400426,2649,2047
2018-01-31,10,1041242,2073,1716
2018-01-31,11,711383,1506,1247
2018-01-31,12,642609,1407,1192
2018-01-31,13,567852,1154,969
2018-01-31,14,412908,845,719
2018-01-31,15,262505,544,468
2018-01-31,16,165321,372,319
2018-01-31,17,71226,188,160
2018-01-31,18,44768,117,99
2018-01-31,19,24399,60,53
2018-01-31,20,13180,48,42
2018-01-31,21,42763,75,66
2018-01-31,22,113638,251,209
2018-01-31,23,382953,910,732
2018-02-01,0,807147,1957,1462
2018-02-01,1,1108344,2706,1885
2018-02-01,2,1200671,2823,1905
2018-02-01,3,1135459,2703,1894
2018-02-01,4,942091,2339,1750
2018-02-01,5,1150778,2671,1869
2018-02-01,6,1283773,2907,2004
2018-02-01,7,1361580,2709,1916
2018-02-01,8,1358198,2795,1968
2018-02-01,9,1387968,2763,2103
2018-02-01,10,1196514,2171,1748
2018-02-01,11,706977,1587,1305
2018-02-01,12,738236,1477,1224
2018-02-01,13,703270,1268,1053
2018-02-01,14,420988,890,774
2018-02-01,15,252262,551,477
2018-02-01,16,149515,373,322
2018-02-01,17,76755,208,192
2018-02-01,18,78976,126,109
2018-02-01,19,31272,67,57
